コンセプト（学習する文字）,ユニット,コンセプト属性：難易度,部首,コンセプト属性：画数,コンセプト属性：音読み,コンセプト属性：訓読み,コンセプト属性：,学年(漢検),漢検,学年
坪,漢字,N1,土,8,ヘイ,つぼ,,,,
垣,漢字,N1,土,9,エン,かき,,,,
執,漢字,N1,土,11,シツ・シュ,と(る),,,,
培,漢字,N1,土,11,バイ,つちか(う),,,,
堀,漢字,N1,土,11,クツ・コツ,ほり,,,,
堅,漢字,N1,土,12,ケン,かた(い),,,,
堕,漢字,N1,土,12,ダ,お(ちる),,,,
堤,漢字,N1,土,12,テイ,つつみ,,,,
堪,漢字,N1,土,12,カン,た(える),,,,
塀,漢字,N1,土,12,ヘイ,-,,,,
塁,漢字,N1,土,12,ルイ,-,,,,
塊,漢字,N1,土,13,カイ,かたまり,,,,
塑,漢字,N1,土,13,ソ,-,,,,
塚,漢字,N1,土,12,-,つか,,,,
塾,漢字,N1,土,14,ジュク,-,,,,
墜,漢字,N1,土,15,ツイ,お(ちる),,,,
墨,漢字,N1,土,14,ボク,すみ,,,,
墳,漢字,N1,土,15,フン,-,,,,
墾,漢字,N1,土,16,コン,ひらく・は(る),,,,
壁,漢字,N1,土,16,ヘキ,かべ,,,,
壇,漢字,N1,土,16,ダン・タン,-,,,,
壊,漢字,N1,土,16,カイ,こわ(す)・こわ(れる),,,,
壌,漢字,N1,土,16,ジョウ,-,,,,
塩,漢字,N2,土,13,エン,しお,,小学4年(７級),7級,小学4年
割,漢字,N3,刀,12,カツ,わ（る）・わり・さ（く）,verb,小学6年(5級),5級,小学6年
刻,漢字,N3,刀,8,コク,きざ（む）,,小学6年(5級),5級,小学6年
券,漢字,N2,刀,8,ケン,-,,小学6年(5級),5級,小学6年
劇,漢字,N2,刀,15,ゲキ,-,,小学6年(5級),5級,小学6年
創,漢字,N1,刀,12,ソウ,つく（る）,,小学6年(5級),5級,小学6年
判,漢字,N3,刀,7,ハン・バン,-,verb,小学5年(６級),6級,小学5年
制,漢字,N3,刀,8,セイ,-,verb,小学5年(６級),6級,小学5年
刊,漢字,N2,刀,5,カン,-,,小学5年(６級),6級,小学5年
則,漢字,N2,刀,9,ソク,-,,小学5年(６級),6級,小学5年
別,漢字,N4 ,刀,7,ベツ,わか（れ）,adjective (),小学4年(７級),7級,小学4年
初,漢字,N3,刀,7,ショ,はつ・はじ（め）,,小学4年(７級),7級,小学4年
利,漢字,N3,刀,7,リ,-,,小学4年(７級),7級,小学4年
刷,漢字,N2,刀,8,サツ,す（る）,,小学4年(７級),7級,小学4年
副,漢字,N2,刀,11,フク,-,,小学4年(７級),7級,小学4年
列,漢字,N3,刀,6,レツ,-,,小学3年(８級),8級,小学3年
分,漢字,N5 ,刀,4,ブン・ブ・フン,わ（ける）,days & times,小学2年(９級),9級,小学2年
前,漢字,N5 ,刀,9,ゼン,まえ,position & direction,小学2年(９級),9級,小学2年
切,漢字,N4 ,刀,4,セツ,き（る）,verb,小学2年(９級),9級,小学2年
刀,漢字,N1,刀,2,トウ,かたな,,小学2年(９級),9級,小学2年
到,漢字,N3,刀,8,トウ,いたる,verb,,,
刺,漢字,N3,刀,8,シ,さ(す)・さ(さる),,,,
刃,漢字,N1,刀,3,ジン,は,,,,
刈,漢字,N1,刀,4,ガイ,か(る),,,,
刑,漢字,N1,刀,6,ケイ,-,,,,
削,漢字,N1,刀,9,サク,けず(る),,,,
剖,漢字,N1,刀,10,ボウ,-,,,,
剛,漢字,N1,刀,10,ゴウ,-,,,,
剣,漢字,N1,刀,10,ケン,つるぎ,,,,
剤,漢字,N1,刀,10,ザイ,-,,,,
剰,漢字,N1,刀,11,ジョウ,-,,,,
豊,漢字,N2,豆,13,ホウ,ゆたか,,小学5年(６級),6級,小学5年
豆,漢字,N1,豆,7,トウ・ズ,まめ,,小学3年(８級),8級,小学3年
酸,漢字,N1,酉,14,サン,す（い）,,小学5年(６級),6級,小学5年
配,漢字,N3,酉,10,ハイ,くば（る）,,小学3年(８級),8級,小学3年
酒,漢字,N3,酉,10,シュ,さけ・さか,,小学3年(８級),8級,小学3年
酌,漢字,N1,酉,10,シャク,く(む),,,,
酔,漢字,N1,酉,11,スイ,よ(う),,,,
酢,漢字,N1,酉,12,サク,す,,,,
酪,漢字,N1,酉,13,ラク,-,,,,
酬,漢字,N1,酉,13,シュウ,むく(いる)　　,,,,
酵,漢字,N1,酉,14,コウ,-,,,,
酷,漢字,N1,酉,14,コク,むご(い)・ひど(い),,,,
醜,漢字,N1,酉,17,シュウ,みみにく(い),,,,
醸,漢字,N1,酉,20,ジョウ,かも(す),,,,
井,漢字,N1,二,4,-,い,,小学4年(７級),7級,小学4年
二,漢字,N5 ,二,2,二,ふた（つ）,numbers,小学1年 (１０級),10級,小学1年
五,漢字,N5 ,二,4,ゴ,いつ（つ）,numbers,小学1年 (１０級),10級,小学1年
弐,漢字,N1,二,6,ニ,ふた・ふたつ,,,,
互,漢字,N3,二,4,ゴ,たが(いに),,,,
亜,漢字,N1,二,7,ア,-,,,,
背,漢字,N3,肉,9,ハイ,せ・そむ（く）,,小学6年(5級),5級,小学6年
腹,漢字,N3,肉,13,フク,はら,,小学6年(5級),5級,小学6年
胃,漢字,N2,肉,9,イ,-,,小学6年(5級),5級,小学6年
胸,漢字,N2,肉,10,キョウ,むね,,小学6年(5級),5級,小学6年
脳,漢字,N2,肉,11,ノウ,のう（みそ）,,小学6年(5級),5級,小学6年
臓,漢字,N2,肉,19,ゾウ,-,,小学6年(5級),5級,小学6年
肺,漢字,N1,肉,9,ハイ,はい,,小学6年(5級),5級,小学6年
腸,漢字,N1,肉,13,チョウ,-,,小学6年(5級),5級,小学6年
能,漢字,N3,肉,10,ノウ,-,,小学5年(６級),6級,小学5年
肥,漢字,N1,肉,8,ヒ,こ（やし）・こ（える）,,小学5年(６級),6級,小学5年
脈,漢字,N1,肉,10,ミャク,-,,小学5年(６級),6級,小学5年
育,漢字,N3,肉,8,イク,そだ（てる）・はぐ（くむ）,,小学3年(８級),8級,小学3年
肉,漢字,N4 ,肉,6,ニク,-,Food,小学2年(９級),9級,小学2年
肌,漢字,N2,肉,6,キ,はだ,,,,
肩,漢字,N2,肉,8,ケン,かた,,,,
肯,漢字,N2,肉,8,コウ,-,,,,
脂,漢字,N2,肉,10,シ,あぶら,,,,
腕,漢字,N2,肉,12,ワン,うで,,,,
腰,漢字,N2,肉,13,ヨウ,こし,,,,
膚,漢字,N2,肉,15,フ,はだ,,,,
肖,漢字,N1,肉,7,ショウ,あやか(る),,,,
肝,漢字,N1,肉,7,カン,きも,,,,
肢,漢字,N1,肉,8,シ,-,,,,
肪,漢字,N1,肉,8,ボウ,-,,,,
胆,漢字,N1,肉,9,タン,きも,,,,
胎,漢字,N1,肉,9,タイ,-,,,,
胞,漢字,N1,肉,9,ホウ,-,,,,
胴,漢字,N1,肉,10,ドウ,-,,,,
脅,漢字,N1,肉,10,キョウ,おびや(かす)・おど(かす)・おど(す),,,,
脚,漢字,N1,肉,11,キャク・キャ,あし,,,,
脱,漢字,N1,肉,11,ダツ,ぬ(ぐ)・ぬ(げる),,,,
脹,漢字,N1,肉,12,チョウ,ふく(らむ)・ふく(れる),,,,
腐,漢字,N1,肉,14,フ,くさ(る)・くさ(らす),,,,
膜,漢字,N1,肉,14,マク,-,,,,
膨,漢字,N1,肉,16,ボウ,ふく(らむ)・ふく(れる),,,,
映,漢字,N4 ,日,9,エイ,うつ（す）・は（える）,,小学6年(5級),5級,小学6年
晩,漢字,N3,日,12,バン,-,,小学6年(5級),5級,小学6年
暮,漢字,N3,日,14,ボ,く（らす）,,小学6年(5級),5級,小学6年
暖,漢字,N1,日,13,ダン・ノン,あたた（かい）・あたた（まる）,,小学6年(5級),5級,小学6年
易,漢字,N3,日,8,イ・エキ,やさ（しい）,,小学5年(６級),6級,小学5年
旧,漢字,N2,日,5,キュウ,-,,小学5年(６級),6級,小学5年
暴,漢字,N2,日,15,ボウ,あば（れる）・あば（く）,,小学5年(６級),6級,小学5年
昨,漢字,N3,日,9,サク,-,,小学4年(７級),7級,小学4年
景,漢字,N3,日,12,ケイ,-,,小学4年(７級),7級,小学4年
暗,漢字,N4 ,日,13,アン,くら（い）,adjective (),小学3年(８級),8級,小学3年
暑,漢字,N4 ,日,12,ショ,あつ（い）,adjective (),小学3年(８級),8級,小学3年
昔,漢字,N3,日,8,セキ・ジャク,むかし,,小学3年(８級),8級,小学3年
昭,漢字,N1,日,9,ショウ,-,,小学3年(８級),8級,小学3年
明,漢字,N4 ,日,8,メイ・ミョウ,あか（るい）・あか（り）・あき（らか）・あ（かす）・あ（く）,adjective (),小学2年(９級),9級,小学2年
時,漢字,N5 ,日,10,ジ,とき,days & times,小学2年(９級),9級,小学2年
昼,漢字,N4 ,日,9,チュウ,ひる,days & times,小学2年(９級),9級,小学2年
曜,漢字,N4 ,日,18,ヨウ,-,days & times,小学2年(９級),9級,小学2年
晴,漢字,N4 ,日,12,セイ,は（れる）,nature & weather,小学2年(９級),9級,小学2年
春,漢字,N4 ,日,9,シュン,はる,seasons,小学2年(９級),9級,小学2年
星,漢字,N2,日,9,セイ・ショウ,ほし,,小学2年(９級),9級,小学2年
早,漢字,N4 ,日,6,ソウ・サッ,はや（い）・はや（まる）,adjective (),小学1年 (１０級),10級,小学1年
日,漢字,N5 ,日,4,ニチ・ジツ,ひ・か,days & times,小学1年 (１０級),10級,小学1年
昇,漢字,N2,日,8,ショウ,のぼ(る),,,,
普,漢字,N2,日,12,フ,-,,,,
曇,漢字,N2,日,16,ドン,くも(る)・くも(り),,,,
旨,漢字,N1,日,6,シ,むね・うま(い),,,,
旬,漢字,N1,日,6,ジュン・シュン,-,,,,
昆,漢字,N1,日,8,コン,-,,,,
是,漢字,N1,日,9,ゼ,これ,,,,
晶,漢字,N1,日,12,ショウ,-,,,,
暁,漢字,N1,日,12,ギョウ,あかつき,,,,
暇,漢字,N1,日,13,カ,ひま,,,,
暦,漢字,N1,日,14,レキ,こよみ,,,,
暫,漢字,N1,日,15,ザン,しばら(く),,,,
全,漢字,N3,入,6,ゼン,まった（く）・すべ（て）,,小学3年(８級),8級,小学3年
内,漢字,N5 ,入,4,ダイ・ナイ,うち,adjective (range),小学2年(９級),9級,小学2年
入,漢字,N5 ,入,2,ニュウ,はい（る）・い（れる）,verb,小学1年 (１０級),10級,小学1年
験,漢字,N4 ,馬,18,ケン,-,verb,小学4年(７級),7級,小学4年
駅,漢字,N5 ,馬,14,エキ,-,transportation,小学3年(８級),8級,小学3年
馬,漢字,N4 ,馬,10,バ,うま・ま,,小学2年(９級),9級,小学2年
駐,漢字,N2,馬,15,チュウ,-,,,,
駄,漢字,N1,馬,14,ダ・タ,-,,,,
駆,漢字,N1,馬,14,ク,か(ける)・か(る),,,,
騎,漢字,N1,馬,18,キ,-,,,,
騒,漢字,N1,馬,18,ソウ,さわ(ぐ),,,,
騰,漢字,N1,馬,20,トウ,-,,,,
驚,漢字,N1,馬,22,キョウ,おどろ(く)・おどろ(かす),,,,
皇,漢字,N1,白,9,コウ・オウ,-,,小学6年(5級),5級,小学6年
的,漢字,N4 ,白,8,テキ,まと,,小学4年(７級),7級,小学4年
白,漢字,N5 ,白,5,ハク・ビャク,しろ（い）・しろ・しら,adjective (color),小学1年 (１０級),10級,小学1年
百,漢字,N5 ,白,6,ヒャク,-,numbers,小学1年 (１０級),10級,小学1年
皆,漢字,N3,白,9,カイ,みな,,,,
麦,漢字,N4 ,麦,7,バク,むぎ,,小学2年(９級),9級,小学2年
共,漢字,N3,八,6,キョウ,とも,,小学4年(７級),7級,小学4年
兵,漢字,N2,八,7,ヘイ・ヒョウ,-,,小学4年(７級),7級,小学4年
典,漢字,N1,八,8,テン,-,,小学4年(７級),7級,小学4年
具,漢字,N3,八,8,グ,-,,小学3年(８級),8級,小学3年
公,漢字,N4 ,八,4,コウ・ク,おおやけ,,小学2年(９級),9級,小学2年
六,漢字,N5 ,八,4,ロク,むっ（つ）・む・むい,numbers,小学1年 (１０級),10級,小学1年
八,漢字,N5 ,八,2,ハチ,やっ（つ）・や,numbers,小学1年 (１０級),10級,小学1年
兼,漢字,N1,八,10,ケン,か(ねる),,,,
釈,漢字,N1,釆,11,シャク,-,,,,
比,漢字,N2,比,5,ヒ,くら（べる）,,小学5年(６級),6級,小学5年
皮,漢字,N2,皮,5,ヒ・ピ,かわ,,小学3年(８級),8級,小学3年
非,漢字,N3,非,8,ヒ,-,,小学5年(６級),6級,小学5年
飛,漢字,,飛,9,ヒ,と（ぶ）・と（ばす）,,小学4年(７級),7級,小学4年
鼻,漢字,N2,鼻,14,ビ,はな,,小学3年(８級),8級,小学3年
疑,漢字,N3,疋,14,ギ,うたが（う）,,小学6年(5級),5級,小学6年
疎,漢字,N1,疋,12,ソ,うと・い、うと・む、まば・ら,,,,
父,漢字,N5 ,父,4,フ,ちち,people & school,小学2年(９級),9級,小学2年
降,漢字,N3,阜,10,コウ,お（りる）・ふ（る）,,小学6年(5級),5級,小学6年
除,漢字,N3,阜,10,ジョ・ジ,のぞ（く）,,小学6年(5級),5級,小学6年
陛,漢字,N1,阜,10,ヘイ,-,,小学6年(5級),5級,小学6年
障,漢字,N1,阜,14,ショウ,さわ（る）,,小学6年(5級),5級,小学6年
限,漢字,N3,阜,9,ゲン,かぎ（る）,,小学5年(６級),6級,小学5年
険,漢字,N3,阜,11,ケン,けわ（しい）,,小学5年(６級),6級,小学5年
際,漢字,N3,阜,14,サイ,きわ・ぎわ,,小学5年(６級),6級,小学5年
防,漢字,N2,阜,7,ボウ,ふせ（ぐ）,,小学5年(６級),6級,小学5年
阪,漢字,N3,阜,7,ハン,さか,,小学4年(７級),7級,小学4年
陸,漢字,N2,阜,11,リク,-,,小学4年(７級),7級,小学4年
隊,漢字,N1,阜,12,タイ,-,,小学4年(７級),7級,小学4年
阜,漢字,,阜,8,フ,-,,小学4年(７級),7級,小学4年
院,漢字,N4 ,阜,10,イン,-,place,小学3年(８級),8級,小学3年
陽,漢字,N3,阜,12,ヨウ,-,,小学3年(８級),8級,小学3年
階,漢字,N2,阜,12,カイ,-,,小学3年(８級),8級,小学3年
隅,漢字,N2,阜,12,グウ,すみ,,,,
阻,漢字,N1,阜,8,ソ,はば(む),,,,
附,漢字,N1,阜,8,フ,つ(ける)・つ(く),,,,
陣,漢字,N1,阜,10,ジン,-,,,,
陥,漢字,N1,阜,10,カン,おちい(る)・おとしい(れる),,,,
陪,漢字,N1,阜,11,バイ,-,,,,
陰,漢字,N1,阜,11,イン,かげ・かげ(る),,,,
陳,漢字,N1,阜,11,チン,-,,,,
陵,漢字,N1,阜,11,リョウ,みささぎ,,,,
陶,漢字,N1,阜,11,トウ,-,,,,
隆,漢字,N1,阜,11,リュウ,-,,,,
随,漢字,N1,阜,12,スイ,まにま(に),,,,
隔,漢字,N1,阜,13,カク,へだ(てる)・へだ(たる),,,,
隠,漢字,N1,阜,14,イン,かく(れる)・かく(す),,,,
隣,漢字,N1,阜,16,リン,となり・とな(る),,,,
風,漢字,N4 ,風,9,フウ,かぜ・かざ,nature & weather,小学2年(９級),9級,小学2年
文,漢字,N4 ,文,4,ブン・モン,ふみ,,小学1年 (１０級),10級,小学1年
糖,漢字,N1,米,16,トウ,-,,小学6年(5級),5級,小学6年
精,漢字,N3,米,14,セイ・ショウ,-,,小学5年(６級),6級,小学5年
粉,漢字,N2,米,10,フン,こな・こ,,小学5年(６級),6級,小学5年
米,漢字,N4 ,米,6,ベイ,こめ,,小学2年(９級),9級,小学2年
粒,漢字,N2,米,11,リュウ,つぶ,,,,
粋,漢字,N1,米,10,スイ,いき,,,,
粗,漢字,N1,米,11,ソ,あら(い),,,,
粘,漢字,N1,米,11,ネン,ねば(る),,,,
糧,漢字,N1,米,18,リョウ、ロウ,かて,,,,
頂,漢字,N3,頁,11,チョウ,いただ（く）・いただき,,小学6年(5級),5級,小学6年
預,漢字,N2,頁,13,ヨ,あず（ける）・あず（かる）,,小学6年(5級),5級,小学6年
領,漢字,N2,頁,14,リョウ,-,,小学5年(６級),6級,小学5年
額,漢字,N2,頁,18,ガク,ひたい,,小学5年(６級),6級,小学5年
願,漢字,N3,頁,19,ガン,ねが（い）,,小学4年(７級),7級,小学4年
類,漢字,N3,頁,18,ルイ,たぐ（い）,,小学4年(７級),7級,小学4年
順,漢字,N2,頁,12,ジュン,-,,小学4年(７級),7級,小学4年
題,漢字,N4 ,頁,18,ダイ,-,,小学3年(８級),8級,小学3年
顔,漢字,N4 ,頁,18,ガン,かお,body & face,小学2年(９級),9級,小学2年
頭,漢字,N4 ,頁,16,トウ・ズ,あたま・かしら,body & face,小学2年(９級),9級,小学2年
頼,漢字,N3,頁,16,ライ,たの(む)・たよ(る),,,,
項,漢字,N1,頁,12,コウ,うなじ,,,,
頑,漢字,N1,頁,13,ガン,かたくな,,,,
頒,漢字,N1,頁,13,ハン,-,,,,
頻,漢字,N1,頁,16,ヒン,しき(りに),,,,
顕,漢字,N1,頁,18,ケン,あらわ(れる)・あらわ(す),,,,
顧,漢字,N1,頁,21,コ,かえり(みる),,,,
片,漢字,N2,片,4,ヘン,かた,,小学6年(5級),5級,小学6年
版,漢字,N2,片,8,ハン,-,,小学5年(６級),6級,小学5年
旗,漢字,N1,方,14,キ,はた,,小学4年(７級),7級,小学4年
族,漢字,N4 ,方,11,ゾク,-,people,小学3年(８級),8級,小学3年
旅,漢字,N4 ,方,10,リョ,たび,,小学3年(８級),8級,小学3年
方,漢字,N4 ,方,4,ホウ,かた,,小学2年(９級),9級,小学2年
施,漢字,N1,方,9,シ・セ,ほどこ(す),,,,
旋,漢字,N1,方,11,セン,-,,,,
占,漢字,N3,卜,5,セン,し(める)・うらな(う),,,,
麻,漢字,N1,麻,11,マ,あさ,,,,
反,漢字,N3,又,4,ハン,-,verb,小学3年(８級),8級,小学3年
取,漢字,N3,又,8,シュ,と（る）,verb,小学3年(８級),8級,小学3年
受,漢字,N3,又,8,ジュ,う（ける）・う（かる）,verb,小学3年(８級),8級,小学3年
友,漢字,N5 ,又,4,ユウ,とも,people & school,小学2年(９級),9級,小学2年
双,漢字,N2,又,4,ソウ,ふた,,,,
又,漢字,N1,又,2,-,また,,,,
及,漢字,N1,又,3,キュウ,およ(ぶ)・およ(ぼす),,,,
叔,漢字,N1,又,8,シュク,-,,,,
叙,漢字,N1,又,9,ジョ,-,,,,
矛,漢字,N1,矛,5,ム,ほこ,,,,
面,漢字,N3,面,9,メン,-,,小学3年(８級),8級,小学3年
毛,漢字,N3,毛,4,モウ,け,,小学2年(９級),9級,小学2年
権,漢字,N3,木,15,ケン・ゴン,-,,小学6年(5級),5級,小学6年
机,漢字,N2,木,6,キ,つくえ,,小学6年(5級),5級,小学6年
枚,漢字,N2,木,8,マイ・バイ,ひら,,小学6年(5級),5級,小学6年
棒,漢字,N2,木,12,ボウ,-,,小学6年(5級),5級,小学6年
染,漢字,N1,木,9,セン,そ（める）・し（みる）,,小学6年(5級),5級,小学6年
株,漢字,N1,木,10,シュ,かぶ,,小学6年(5級),5級,小学6年
模,漢字,N1,木,14,モ・ボ,-,,小学6年(5級),5級,小学6年
樹,漢字,N1,木,16,ジュ,き,,小学6年(5級),5級,小学6年
格,漢字,N3,木,10,カク・コウ,-,,小学5年(６級),6級,小学5年
構,漢字,N3,木,14,コウ,かま（う）,,小学5年(６級),6級,小学5年
枝,漢字,N2,木,8,シ,えだ,,小学5年(６級),6級,小学5年
査,漢字,N2,木,9,サ,-,,小学5年(６級),6級,小学5年
条,漢字,N1,木,7,ジョウ,-,,小学5年(６級),6級,小学5年
桜,漢字,N1,木,10,オウ,さくら,,小学5年(６級),6級,小学5年
検,漢字,N1,木,12,ケン,-,,小学5年(６級),6級,小学5年
末,漢字,N3,木,5,マツ,すえ,,小学4年(７級),7級,小学4年
未,漢字,N3,木,5,ミ,-,,小学4年(７級),7級,小学4年
束,漢字,N3,木,7,ソク,たば,,小学4年(７級),7級,小学4年
果,漢字,N3,木,8,カ,は（てる）・は（たす）,,小学4年(７級),7級,小学4年
機,漢字,N3,木,16,キ,-,,小学4年(７級),7級,小学4年
札,漢字,N2,木,5,サツ,ふだ,,小学4年(７級),7級,小学4年
材,漢字,N2,木,7,ザイ,-,,小学4年(７級),7級,小学4年
栄,漢字,N2,木,9,エイ,さか（える）,,小学4年(７級),7級,小学4年
械,漢字,N2,木,11,カイ,-,,小学4年(７級),7級,小学4年
極,漢字,N2,木,12,キョク,きわ（める）,,小学4年(７級),7級,小学4年
松,漢字,N1,木,8,ショウ,まつ,,小学4年(７級),7級,小学4年
案,漢字,N1,木,10,アン,-,,小学4年(７級),7級,小学4年
梅,漢字,N1,木,10,バイ,うめ,,小学4年(７級),7級,小学4年
標,漢字,N1,木,15,ヒョウ,-,,小学4年(７級),7級,小学4年
栃,漢字,,木,9,-,とち,,小学4年(７級),7級,小学4年
梨,漢字,,木,11,-,なし,,小学4年(７級),7級,小学4年
業,漢字,N4 ,木,13,ギョウ・ゴウ,わざ,,小学3年(８級),8級,小学3年
様,漢字,N3,木,14,ヨウ,さま,,小学3年(８級),8級,小学3年
横,漢字,N3,木,15,オウ,よこ,,小学3年(８級),8級,小学3年
板,漢字,N2,木,8,バン・パン,いた,,小学3年(８級),8級,小学3年
柱,漢字,N2,木,9,チュウ,はしら,,小学3年(８級),8級,小学3年
根,漢字,N2,木,10,コン,ね,,小学3年(８級),8級,小学3年
植,漢字,N2,木,12,ショク,う（える）,,小学3年(８級),8級,小学3年
橋,漢字,N2,木,16,キョウ,はし,,小学3年(８級),8級,小学3年
東,漢字,N5 ,木,8,トウ,ひがし,position & direction,小学2年(９級),9級,小学2年
楽,漢字,N4 ,木,13,ラク・ガク,たの（しい）,,小学2年(９級),9級,小学2年
木,漢字,N5 ,木,4,ボク・モク,き・こ,days & times,小学1年 (１０級),10級,小学1年
校,漢字,N5 ,木,10,コウ,-,people & school,小学1年 (１０級),10級,小学1年
本,漢字,N5 ,木,5,ホン,もと,people & school,小学1年 (１０級),10級,小学1年
村,漢字,N4 ,木,7,ソン,むら,place,小学1年 (１０級),10級,小学1年
森,漢字,N4 ,木,12,シン,もり,place,小学1年 (１０級),10級,小学1年
林,漢字,N4 ,木,8,リン,はやし,place,小学1年 (１０級),10級,小学1年
杯,漢字,N3,木,8,ハイ,さかずき,,,,
枯,漢字,N2,木,9,コ,か(れる)・か(らす),,,,
柔,漢字,N2,木,9,ジュウ・ニュウ,やわ(らかい),,,,
朱,漢字,N1,木,6,シュ,あか,,,,
朴,漢字,N1,木,6,ボク,-,,,,
朽,漢字,N1,木,6,キュウ,く(ちる),,,,
杉,漢字,N1,木,7,サン,すぎ,,,,
析,漢字,N1,木,8,セキ,-,,,,
枠,漢字,N1,木,8,-,わく,,,,
枢,漢字,N1,木,8,スウ,とぼそ ,,,,
架,漢字,N1,木,9,カ,か(ける)・か(かる),,,,
柄,漢字,N1,木,9,ヘイ,え・がら,,,,
某,漢字,N1,木,9,ボウ,それがし,,,,
柳,漢字,N1,木,9,リュウ,やなぎ,,,,
栓,漢字,N1,木,10,セン,-,,,,
核,漢字,N1,木,10,カク,-,,,,
栽,漢字,N1,木,12,サイ,た(つ)・さば(く),,,,
桃,漢字,N1,木,10,トウ,もも,,,,
桑,漢字,N1,木,10,ソウ,くわ,,,,
桟,漢字,N1,木,10,サン,-,,,,
棄,漢字,N1,木,13,キ,す(てる),,,,
棋,漢字,N1,木,12,キ,-,,,,
棚,漢字,N1,木,12,ホウ,たな,,,,
棟,漢字,N1,木,12,トウ,むね,,,,
棺,漢字,N1,木,12,カン,-,,,,
楼,漢字,N1,木,13,ロウ,-,,,,
概,漢字,N1,木,14,ガイ,おおむ(ね),,,,
槽,漢字,N1,木,15,ソウ,-,,,,
欄,漢字,N1,木,20,ラン,-,,,,
看,漢字,N1,目,9,カン,み（る）,,小学6年(5級),5級,小学6年
眼,漢字,N1,目,11,ガン,まなこ,,小学5年(６級),6級,小学5年
省,漢字,N2,目,9,ショウ・セイ,はぶ（く）,,小学4年(７級),7級,小学4年
真,漢字,N4 ,目,10,シン,ま,adjective (),小学3年(８級),8級,小学3年
県,漢字,N4 ,目,9,ケン,-,place,小学3年(８級),8級,小学3年
相,漢字,N3,目,9,ソウ・ショウ,あい,,小学3年(８級),8級,小学3年
直,漢字,N4 ,目,8,チョク・ジキ,なお（す）・じき,verb,小学2年(９級),9級,小学2年
目,漢字,N5 ,目,5,モク・ボク,め,body & face,小学1年 (１０級),10級,小学1年
眠,漢字,N3,目,10,ミン,ねむ(る)・ねむ(い),,,,
盲,漢字,N1,目,8,モウ,めくら,,,,
盾,漢字,N1,目,9,ジュン,たて,,,,
眺,漢字,N1,目,11,チョウ,なが(める),,,,
睡,漢字,N1,目,13,スイ,-,,,,
督,漢字,N1,目,13,トク,-,,,,
瞬,漢字,N1,目,18,シュン,またた(く),,,,
閉,漢字,N3,門,11,ヘイ,し（める）・と（じる）,,小学6年(5級),5級,小学6年
閣,漢字,N1,門,14,カク,-,,小学6年(5級),5級,小学6年
関,漢字,N3,門,14,カン,せき・かか（わる）・せき,,小学4年(７級),7級,小学4年
開,漢字,N4 ,門,12,カイ,ひら（く）・あ（ける）,verb,小学3年(８級),8級,小学3年
間,漢字,N5 ,門,12,カン・ケン,あいだ・ま,days & times,小学2年(９級),9級,小学2年
門,漢字,N4 ,門,8,モン,かど・と,place,小学2年(９級),9級,小学2年
閑,漢字,N1,門,12,カン,-,,,,
閥,漢字,N1,門,14,バツ,-,,,,
閲,漢字,N1,門,15,エツ,-,,,,
闘,漢字,N1,門,18,トウ,たたか(う),,,,
短,漢字,N4 ,矢,12,タン,みじか（い）,adjective (),小学3年(８級),8級,小学3年
知,漢字,N4 ,矢,8,チ,し（る）,verb,小学2年(９級),9級,小学2年
矢,漢字,N1,矢,5,シ,や,,小学2年(９級),9級,小学2年
矯,漢字,N1,矢,17,キョウ,た(める)　,,,,
郵,漢字,N2,邑,11,ユウ,-,,小学6年(5級),5級,小学6年
郷,漢字,N1,邑,11,キョウ・ゴウ,さと,,小学6年(5級),5級,小学6年
郡,漢字,N1,邑,10,グン,こおり,,小学4年(７級),7級,小学4年
都,漢字,N4 ,邑,11,ト・ツ,みやこ,place,小学3年(８級),8級,小学3年
部,漢字,N3,邑,11,ブ,-,,小学3年(８級),8級,小学3年
郊,漢字,N2,邑,8,コウ,-,,,,
邦,漢字,N1,邑,7,ホウ,くに,,,,
邪,漢字,N1,邑,8,ジャ,よこしま,,,,
邸,漢字,N1,邑,8,テイ,やしき,,,,
郎,漢字,N1,邑,9,ロウ,-,,,,
郭,漢字,N1,邑,11,カク,　くるわ,,,,
夢,漢字,N3,夕,13,ム,ゆめ,,小学5年(６級),6級,小学5年
多,漢字,N5 ,夕,6,タ,おお（い）,adjective (amount),小学2年(９級),9級,小学2年
外,漢字,N5 ,夕,5,ガイ・ゲ,そと・ほか・はず（す）,adjective (range),小学2年(９級),9級,小学2年
夜,漢字,N4 ,夕,8,ヤ,よる・よ,days & times,小学2年(９級),9級,小学2年
夕,漢字,N4 ,夕,3,セキ,ゆう,days & times,小学1年 (１０級),10級,小学1年
用,漢字,N4 ,用,5,ヨウ,もち（いる）,,小学2年(９級),9級,小学2年
義,漢字,N1,羊,13,ギ,-,,小学5年(６級),6級,小学5年
群,漢字,N2,羊,13,グン,む（れる）・むら（がる）,,小学4年(７級),7級,小学4年
着,漢字,N4 ,羊,12,チャク,つ（く）・き（る）,verb,小学3年(８級),8級,小学3年
美,漢字,N3,羊,9,ビ,うつく（しい）,,小学3年(８級),8級,小学3年
羊,漢字,N1,羊,6,ヨウ,ひつじ,,小学3年(８級),8級,小学3年
量,漢字,N2,里,12,リョウ,はか（る）,,小学4年(７級),7級,小学4年
